symbol,security,gics_sector,gics_industry,country,region,report_url,report year,annual carbon emissions (tonnes co₂),annual water consumption (cubic meters),renewable energy usage (mwh),sustainable materials usage ratio (percent),waste recycling rate (percent)
ULVR.L,Unilever,Consumer Staples,Personal Goods,GB,Europe,https://www.unilever.com/files/origin/e4aa61b4fa7970c7a3f43a62c825366babd6c693.pdf/unilever-basis-of-preperation-sustainability-2020.pdf,2020,717399.0,27100000.0,,,96.0
ULVR.L,Unilever,Consumer Staples,Personal Goods,GB,Europe,https://www.unilevernigeria.com/files/3106c669-0fb6-4bad-aeb4-2f137f1b42c8/unilever-2022-sr---v6---apr17th.pdf,2022,,,,,
ULVR.L,Unilever,Consumer Staples,Personal Goods,GB,Europe,https://www.unilever.com/files/origin/2563c41835fe326900ec47fcdf9785b9b1aef70b.pdf/uslp-unilever-sustainable-living-plan-scaling-for-impact-summary-of-progress-2014.pdf,2014,16000.0,,,,
UU.L,United Utilities,Utilities,Multi-Utilities,GB,Europe,https://www.unitedutilities.com/globalassets/z_corporate-site/financial-news-2019/united-utilities-2019-web.pdf,2019,,4.43,976000.0,,96.0
UU.L,United Utilities,Utilities,Multi-Utilities,GB,Europe,https://www.unitedutilities.com/globalassets/documents/pdf/sustainability-report-2023.pdf,2023,,,100.0,,
VOD.L,Vodafone Group,Communication Services,Mobile Telecommunications,GB,Europe,https://www.vodafone.com/sites/default/files/2022-06/vodafone-2022-tcfd-report.pdf,2022,0.86,,115000.0,,
VOD.L,Vodafone Group,Communication Services,Mobile Telecommunications,GB,Europe,https://www.vodafone.com/content/dam/vodcom/sustainability/pdfs/sustainablebusiness2019.pdf,2019,2000000.0,,15.4,,
VOD.L,Vodafone Group,Communication Services,Mobile Telecommunications,GB,Europe,https://www.vodafone.com/content/dam/vodcom/sustainability/pdfs/sustainablebusiness2017.pdf,2017,2590000.0,,,,
WPP.L,WPP plc,Communication Services,Media,GB,Europe,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/w/LSE_WPP_2021.pdf,2021,,,,,
WPP.L,WPP plc,Communication Services,Media,GB,Europe,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/w/LSE_WPP_2020.pdf,2020,,,,,
WPP.L,WPP plc,Communication Services,Media,GB,Europe,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/w/LSE_WPP_2022.pdf,2022,,,,,
WPP.L,WPP plc,Communication Services,Media,GB,Europe,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/w/LSE_WPP_2018.pdf,2018,0.74,,30.0,,54.0
WPP.L,WPP plc,Communication Services,Media,GB,Europe,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/w/LSE_WPP_2019.pdf,2019,18994.0,,35.0,25.0,
