symbol,security,gics_sector,gics_industry,country,region,report_url,report_year
A,Agilent Technologies Inc,Health Care,Health Care Equipment,US,North America,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_A_2002.pdf,2002.0
A,Agilent Technologies Inc,Health Care,Health Care Equipment,US,North America,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_A_2008.pdf,2008.0
A,Agilent Technologies Inc,Health Care,Health Care Equipment,US,North America,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_A_2021.pdf,2021.0
A,Agilent Technologies Inc,Health Care,Health Care Equipment,US,North America,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_A_2016.pdf,2016.0
A,Agilent Technologies Inc,Health Care,Health Care Equipment,US,North America,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_A_2004.pdf,2004.0
A,Agilent Technologies Inc,Health Care,Health Care Equipment,US,North America,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_A_2012.pdf,2012.0
A,Agilent Technologies Inc,Health Care,Health Care Equipment,US,North America,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_A_2018.pdf,2018.0
A,Agilent Technologies Inc,Health Care,Health Care Equipment,US,North America,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_A_2010.pdf,2010.0
A,Agilent Technologies Inc,Health Care,Health Care Equipment,US,North America,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_A_2006.pdf,2006.0
A,Agilent Technologies Inc,Health Care,Health Care Equipment,US,North America,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_A_2011.pdf,2011.0
APD,Air Products & Chemicals Inc,Materials,Industrial Gases,US,North America,https://www.airproducts.com/-/media/files/en/900/900-24-001-us-sustainability-report-2024.pdf,2024.0
APD,Air Products & Chemicals Inc,Materials,Industrial Gases,US,North America,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_APD_2022.pdf,2022.0
APD,Air Products & Chemicals Inc,Materials,Industrial Gases,US,North America,https://www.apple.com/tr/environment/pdf/Apple_Environmental_Responsibility_Report_2018.pdf,2018.0
APD,Air Products & Chemicals Inc,Materials,Industrial Gases,US,North America,https://www.airproducts.com/-/media/files/en/900/900-23-001-us-sustainability-report-2023.pdf,2023.0
APD,Air Products & Chemicals Inc,Materials,Industrial Gases,US,North America,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/i/NASDAQ_INTC_2016.pdf,2016.0
APD,Air Products & Chemicals Inc,Materials,Industrial Gases,US,North America,https://www.apple.com/environment/pdf/Apple_Environmental_Responsibility_Report_2019.pdf,2019.0
APD,Air Products & Chemicals Inc,Materials,Industrial Gases,US,North America,http://www.ga-institute.com/fileadmin/user_upload/Reports/GRI_Trends-in-External-Assurance-of-Sustainability-Reports_July-2014.pdf,2014.0
AKAM,Akamai Technologies Inc,Information Technology,Internet Services & Infrastructure,US,North America,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NASDAQ_AKAM_2020.pdf,2020.0
AKAM,Akamai Technologies Inc,Information Technology,Internet Services & Infrastructure,US,North America,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NASDAQ_AKAM_2022.pdf,2022.0
AKAM,Akamai Technologies Inc,Information Technology,Internet Services & Infrastructure,US,North America,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NASDAQ_AKAM_2019.pdf,2019.0
AKAM,Akamai Technologies Inc,Information Technology,Internet Services & Infrastructure,US,North America,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NASDAQ_AKAM_2021.pdf,2021.0
ALK,Alaska Air Group Inc,Industrials,Airlines,US,North America,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_ALK_2019.pdf,2019.0
ALK,Alaska Air Group Inc,Industrials,Airlines,US,North America,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_ALK_2020.pdf,2020.0
ALK,Alaska Air Group Inc,Industrials,Airlines,US,North America,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_ALK_2022.pdf,2022.0
ALK,Alaska Air Group Inc,Industrials,Airlines,US,North America,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_ALK_2021.pdf,2021.0
ALK,Alaska Air Group Inc,Industrials,Airlines,US,North America,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_ALK_2013.pdf,2013.0
ALK,Alaska Air Group Inc,Industrials,Airlines,US,North America,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_ALK_2018.pdf,2018.0
ALK,Alaska Air Group Inc,Industrials,Airlines,US,North America,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_ALK_2009.pdf,2009.0
ALK,Alaska Air Group Inc,Industrials,Airlines,US,North America,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_ALK_2012.pdf,2012.0
ALK,Alaska Air Group Inc,Industrials,Airlines,US,North America,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_ALK_2017.pdf,2017.0
ALB,Albemarle Corp,Materials,Specialty Chemicals,US,North America,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_ALB_2020.pdf,2020.0
ALB,Albemarle Corp,Materials,Specialty Chemicals,US,North America,https://www.albemarle.com/sites/default/files/2024-06/Albemarle%202023%20Sustainability%20Report%284%29.pdf,2024.0
ALB,Albemarle Corp,Materials,Specialty Chemicals,US,North America,https://www.albemarle.com/sites/default/files/2024-06/alb_2019_sustainability_report_final_interactive_175dpi_1.pdf,2019.0
ALB,Albemarle Corp,Materials,Specialty Chemicals,US,North America,https://s201.q4cdn.com/960975307/files/doc_downloads/Albemarle-101/2022_sustainability_report.pdf,2022.0
ALB,Albemarle Corp,Materials,Specialty Chemicals,US,North America,https://www.albemarle.com/sites/default/files/gc_pdf//2021SustainabilityReport_2022-06-02_19-43-55.pdf,2021.0
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,US,North America,https://www.are.com/cr/ARECR2018.pdf,2018.0
